name,online_order,book_table,rate,votes,location,approx_cost(for two people),listed_in(type),listed_in(city)
"Khan's Biryani","Yes","No",3,11,"BTM",300,"Delivery","BTM"
"JP Fish Land","Yes","No",3.6,24,"BTM",300,"Delivery","BTM"
"The Lassi Bar","No","No",3.7,42,"BTM",300,"Delivery","BTM"
"Pabrai's Fresh and Naturelle Icecreams","No","No",3.7,118,"BTM",300,"Delivery","BTM"
"Homely Curries & Pickles","Yes","No",3.4,49,"BTM",300,"Delivery","BTM"
"Momo Jojo","Yes","No",3.4,6,"BTM",300,"Delivery","BTM"
"Yeti","No","No",3.7,22,"BTM",300,"Delivery","BTM"
"Freeze It","Yes","No",3.6,6,"BTM",300,"Delivery","BTM"
"Chettinad Food House","No","No",3.1,7,"BTM",300,"Delivery","BTM"
"RP Sweets","No","No",3.4,9,"BTM",300,"Delivery","BTM"
"Snaxup Restaurant","No","No",3.5,31,"BTM",300,"Delivery","BTM"
"Amrutha Mess","No","No",3.4,5,"BTM",300,"Delivery","BTM"
"Top Foam Parantha Roll & Juice Centre","No","No",3.5,13,"BTM",300,"Delivery","BTM"
"Brew Cafe","No","No",3.2,4,"BTM",300,"Delivery","BTM"
"Coal Grill & Cafe","No","No",3.3,8,"BTM",300,"Delivery","BTM"
"Kafe Nook","Yes","No",3.6,35,"BTM",300,"Delivery","BTM"
"Foodies Club","Yes","No",3.4,5,"BTM",300,"Delivery","BTM"
"Joey's","No","No",3.7,43,"BTM",300,"Delivery","BTM"
"BongHomie","No","No",3.4,10,"BTM",300,"Delivery","BTM"
"Hungry Nights","No","No",3,54,"BTM",300,"Delivery","BTM"
"Eaternet","No","No",3.6,24,"BTM",300,"Delivery","BTM"
"NY8LIFE","No","No",3.2,4,"BTM",300,"Delivery","BTM"
"Chef All Nite","Yes","No",3.9,464,"BTM",300,"Delivery","BTM"
"Nutrition on Wheels","No","No",2.9,23,"BTM",300,"Delivery","BTM"
"Limra Hotel","Yes","No",3.3,26,"BTM",300,"Delivery","BTM"
"Al Habibi Restaurant","Yes","No",3.5,17,"BTM",300,"Delivery","BTM"
"Polamma's Mess","Yes","No",4.2,185,"BTM",300,"Delivery","BTM"
"Pakiza Dilli Darbar Restaurant","Yes","No",3.2,13,"BTM",300,"Delivery","BTM"
"Sagar Fast Food","Yes","No",3.7,66,"BTM",300,"Delivery","BTM"
"Naati Biriyani","Yes","No",3.1,4,"BTM",300,"Delivery","BTM"
"Bullet Biryani","Yes","No",3.2,9,"BTM",300,"Delivery","BTM"
"Biryani Spot","Yes","No",3.5,9,"BTM",300,"Delivery","BTM"
"Dabba Karkhana","Yes","No",3.5,17,"BTM",300,"Delivery","BTM"
"Easy Bites","Yes","No",4.1,77,"BTM",300,"Delivery","Koramangala 7th Block"
"Swadista Aahar","Yes","No",4.1,790,"BTM",300,"Delivery","Koramangala 7th Block"
"Roti Wala","Yes","No",4.1,201,"BTM",300,"Delivery","Koramangala 7th Block"
"Bathinda Tandoor","Yes","No",3.9,64,"BTM",300,"Delivery","Koramangala 7th Block"
"New Mahesh Friends Food Corner","Yes","No",3.2,55,"BTM",300,"Delivery","Koramangala 7th Block"
"Paratha Junction","Yes","No",3,179,"BTM",300,"Delivery","Koramangala 7th Block"
"Chicken Magic","Yes","No",3.7,214,"BTM",300,"Delivery","Koramangala 7th Block"
"Polar Bear","Yes","No",3.9,21,"BTM",300,"Delivery","Koramangala 7th Block"
"The Biriyani Pedia","Yes","No",4,59,"BTM",300,"Delivery","Koramangala 7th Block"
"Mahesh Friends Food Center","Yes","No",2.9,141,"BTM",300,"Delivery","Koramangala 7th Block"
"Krishna Sagar","Yes","No",3.9,52,"BTM",300,"Delivery","Koramangala 7th Block"
"Aramane Donne Biriyani","Yes","No",3.9,192,"BTM",300,"Delivery","Koramangala 7th Block"
"Pathaan Sir","Yes","No",3.9,184,"BTM",300,"Delivery","Koramangala 7th Block"
"Nammura Donne Biriyani","Yes","No",3.6,68,"BTM",300,"Delivery","Koramangala 7th Block"
"RB Food Point","Yes","No",3.9,44,"BTM",300,"Delivery","Koramangala 7th Block"
"Indiana Burgers","Yes","No",3.3,25,"BTM",300,"Delivery","Koramangala 7th Block"
"Cafe Alchemist","Yes","No",3.8,62,"BTM",300,"Delivery","Koramangala 7th Block"
"Yum In My Tum","Yes","No",4.2,120,"BTM",300,"Delivery","Koramangala 7th Block"
"Darshan Paradise Restaurant","Yes","No",3.6,16,"BTM",300,"Delivery","Koramangala 7th Block"
"Waffle Head","Yes","No",4,39,"BTM",300,"Delivery","Koramangala 7th Block"
"Kairali","Yes","No",3.9,172,"BTM",300,"Delivery","Koramangala 7th Block"
"Chef All Nite","Yes","No",3.8,464,"BTM",300,"Delivery","Koramangala 7th Block"
"Awesome Foods","Yes","No",3.7,27,"BTM",300,"Delivery","Koramangala 7th Block"
"The Bong Palate","Yes","No",3.8,64,"BTM",300,"Delivery","Koramangala 7th Block"
"Manchu Cafe","Yes","No",3.7,24,"BTM",300,"Delivery","Koramangala 7th Block"
"Nanna Munna Paratha House","Yes","No",4,109,"BTM",300,"Delivery","Koramangala 7th Block"
"The Arabian Nights","Yes","No",2.6,53,"BTM",300,"Delivery","Koramangala 7th Block"
"Totus","Yes","No",3.7,17,"BTM",300,"Delivery","Koramangala 7th Block"
"Pappu Chaiwalla","Yes","No",3.1,90,"BTM",300,"Delivery","Koramangala 7th Block"
"Tarbouche","Yes","No",3.7,14,"BTM",300,"Delivery","Koramangala 7th Block"
"Appana Restaurant","Yes","No",3.5,12,"BTM",300,"Delivery","Koramangala 7th Block"
"Kitchen24","Yes","No",3.4,15,"BTM",300,"Delivery","Koramangala 7th Block"
"Speedbreaker","Yes","No",3.4,15,"BTM",300,"Delivery","Koramangala 7th Block"
"RK Fresh Food","Yes","No",3.5,14,"BTM",300,"Delivery","Koramangala 7th Block"
"World Of Asia","Yes","No",4,42,"BTM",300,"Delivery","Koramangala 7th Block"
"Biryani Magic","Yes","No",3.5,31,"BTM",300,"Delivery","Koramangala 7th Block"
"Waffle Stories","Yes","No",4,70,"BTM",300,"Delivery","Koramangala 7th Block"
"Fillers","Yes","No",3.9,140,"BTM",300,"Delivery","Koramangala 7th Block"
"Sri Nandi Grand","Yes","No",3.4,7,"BTM",300,"Delivery","Koramangala 7th Block"
"Chatter Platter","Yes","No",3.4,30,"BTM",300,"Delivery","Koramangala 7th Block"
"Vyanjan","Yes","No",3.9,203,"BTM",300,"Delivery","Koramangala 7th Block"
"Litti Twist","Yes","No",4.2,465,"BTM",300,"Delivery","Koramangala 7th Block"
"Ammus Hot N Cool","Yes","No",3.4,84,"BTM",300,"Delivery","Koramangala 7th Block"
"The Hungers Zone","Yes","No",3.7,57,"BTM",300,"Delivery","Koramangala 7th Block"
"New South Corner","Yes","No",3.7,20,"BTM",300,"Delivery","Koramangala 7th Block"
"Indori Chatorey","Yes","No",2.8,137,"BTM",300,"Delivery","Koramangala 7th Block"
"Freeze It","Yes","No",3.6,6,"BTM",300,"Delivery","Koramangala 7th Block"
"Swaadam Veg","Yes","No",3.6,34,"BTM",300,"Delivery","Koramangala 7th Block"
"Momo Jojo","Yes","No",3.4,6,"BTM",300,"Delivery","Koramangala 7th Block"
"The Cuboidal","Yes","No",3.6,16,"BTM",300,"Delivery","Koramangala 7th Block"
"Kafe Nook","Yes","No",3.6,35,"BTM",300,"Delivery","Koramangala 7th Block"
"Limra Hotel","Yes","No",3.3,26,"BTM",300,"Delivery","Koramangala 7th Block"
"Homely Curries & Pickles","Yes","No",3.4,50,"BTM",300,"Delivery","Koramangala 7th Block"
"JP Fish Land","Yes","No",3.6,24,"BTM",300,"Delivery","Koramangala 7th Block"
"BongHomie","No","No",3.5,11,"BTM",300,"Delivery","Koramangala 7th Block"
"NY8LIFE","No","No",3.2,4,"BTM",300,"Delivery","Koramangala 7th Block"
"Al Habibi Restaurant","Yes","No",3.5,17,"BTM",300,"Delivery","Koramangala 7th Block"
"Naati Biriyani","No","No",3.1,4,"BTM",300,"Delivery","Koramangala 7th Block"
"Sagar Fast Food","Yes","No",3.7,67,"BTM",300,"Delivery","Koramangala 7th Block"
"Jose's Mess","No","No",4.4,318,"BTM",300,"Delivery","Koramangala 7th Block"
"Thottathil Restaurant","No","No",3.8,71,"BTM",300,"Delivery","Koramangala 7th Block"
"King Punjabi Restaurant","No","No",3.8,53,"BTM",300,"Delivery","Koramangala 7th Block"
"Yeti","No","No",3.7,22,"BTM",300,"Delivery","Koramangala 7th Block"
"Bisimillah Biriyani","No","No",3.5,11,"BTM",300,"Delivery","Koramangala 7th Block"
"Hotel Darshan Paradise","Yes","No",3.6,16,"BTM",300,"Delivery","Koramangala 7th Block"
"Bisimillah Biriyani's & Kebab's","No","No",3.3,6,"BTM",300,"Delivery","Koramangala 7th Block"
"The Lassi Bar","No","No",3.7,42,"BTM",300,"Delivery","Koramangala 7th Block"
"Foodies Club","Yes","No",3.4,5,"BTM",300,"Delivery","Koramangala 7th Block"
"Chettinad Food House","No","No",3.1,7,"BTM",300,"Delivery","Koramangala 7th Block"
"RP Sweets","No","No",3.4,9,"BTM",300,"Delivery","Koramangala 7th Block"
"Amrutha Mess","No","No",3.4,6,"BTM",300,"Delivery","Koramangala 7th Block"
"Top Foam Parantha Roll & Juice Centre","No","No",3.4,13,"BTM",300,"Delivery","Koramangala 7th Block"
"Brew Cafe","No","No",3.2,4,"BTM",300,"Delivery","Koramangala 7th Block"
"Hungry Nights","No","No",3,54,"BTM",300,"Delivery","Koramangala 7th Block"
"Coal Grill & Cafe","No","No",3.3,8,"BTM",300,"Delivery","Koramangala 7th Block"
"Mongolian Kitchen","No","No",3.8,30,"BTM",300,"Delivery","Koramangala 7th Block"
"Nutrition on Wheels","No","No",2.9,23,"BTM",300,"Delivery","Koramangala 7th Block"
"Pakiza Dilli Darbar Restaurant","Yes","No",3.2,13,"BTM",300,"Delivery","Koramangala 7th Block"
"Bullet Biryani","Yes","No",3.2,9,"BTM",300,"Delivery","Koramangala 7th Block"
"Biryani Spot","Yes","No",3.5,9,"BTM",300,"Delivery","Koramangala 7th Block"
"Dabba Karkhana","Yes","No",3.5,17,"BTM",300,"Delivery","Koramangala 7th Block"
"Swadista Aahar","Yes","No",4.1,789,"BTM",300,"Delivery","Koramangala 5th Block"
"Easy Bites","Yes","No",4.1,77,"BTM",300,"Delivery","Koramangala 5th Block"
"Roti Wala","Yes","No",4,200,"BTM",300,"Delivery","Koramangala 5th Block"
"Paratha Junction","Yes","No",2.9,178,"BTM",300,"Delivery","Koramangala 5th Block"
"New Mahesh Friends Food Corner","Yes","No",3.2,52,"BTM",300,"Delivery","Koramangala 5th Block"
"Litti Twist","Yes","No",4.2,465,"BTM",300,"Delivery","Koramangala 5th Block"
"Bathinda Tandoor","Yes","No",3.8,60,"BTM",300,"Delivery","Koramangala 5th Block"
"Mahesh Friends Food Center","Yes","No",2.9,136,"BTM",300,"Delivery","Koramangala 5th Block"
"The Biriyani Pedia","Yes","No",3.9,58,"BTM",300,"Delivery","Koramangala 5th Block"
"Krishna Sagar","Yes","No",3.9,52,"BTM",300,"Delivery","Koramangala 5th Block"
"Chicken Magic","Yes","No",3.6,214,"BTM",300,"Delivery","Koramangala 5th Block"
"Aramane Donne Biriyani","Yes","No",3.9,192,"BTM",300,"Delivery","Koramangala 5th Block"
"RB Food Point","Yes","No",3.9,41,"BTM",300,"Delivery","Koramangala 5th Block"
"Nammura Donne Biriyani","Yes","No",3.6,68,"BTM",300,"Delivery","Koramangala 5th Block"
"Indiana Burgers","Yes","No",3.3,24,"BTM",300,"Delivery","Koramangala 5th Block"
"Yum In My Tum","Yes","No",4.2,114,"BTM",300,"Delivery","Koramangala 5th Block"
"Kairali","Yes","No",3.9,172,"BTM",300,"Delivery","Koramangala 5th Block"
"The Bong Palate","Yes","No",3.8,63,"BTM",300,"Delivery","Koramangala 5th Block"
"Pappu Chaiwalla","Yes","No",3.1,89,"BTM",300,"Delivery","Koramangala 5th Block"
"Awesome Foods","Yes","No",3.7,27,"BTM",300,"Delivery","Koramangala 5th Block"
"Manchu Cafe","Yes","No",3.8,23,"BTM",300,"Delivery","Koramangala 5th Block"
"Nanna Munna Paratha House","Yes","No",4,109,"BTM",300,"Delivery","Koramangala 5th Block"
"Cafe Alchemist","Yes","No",3.8,62,"BTM",300,"Delivery","Koramangala 5th Block"
"Fillers","Yes","No",3.9,139,"BTM",300,"Delivery","Koramangala 5th Block"
"Darshan Paradise Restaurant","Yes","No",3.6,15,"BTM",300,"Delivery","Koramangala 5th Block"
"Waffle Head","Yes","No",4,38,"BTM",300,"Delivery","Koramangala 5th Block"
"Tarbouche","Yes","No",3.7,13,"BTM",300,"Delivery","Koramangala 5th Block"
"Biryani Magic","Yes","No",3.5,31,"BTM",300,"Delivery","Koramangala 5th Block"
"Appana Restaurant","Yes","No",3.5,12,"BTM",300,"Delivery","Koramangala 5th Block"
"Speedbreaker","Yes","No",3.4,15,"BTM",300,"Delivery","Koramangala 5th Block"
"World Of Asia","Yes","No",4,42,"BTM",300,"Delivery","Koramangala 5th Block"
"RK Fresh Food","Yes","No",3.5,14,"BTM",300,"Delivery","Koramangala 5th Block"
"Indori Chatorey","Yes","No",2.8,137,"BTM",300,"Delivery","Koramangala 5th Block"
"Waffle Stories","Yes","No",4,70,"BTM",300,"Delivery","Koramangala 5th Block"
"The Arabian Nights","Yes","No",2.6,51,"BTM",300,"Delivery","Koramangala 5th Block"
"Ammus Hot N Cool","Yes","No",3.4,84,"BTM",300,"Delivery","Koramangala 5th Block"
"New South Corner","Yes","No",3.7,20,"BTM",300,"Delivery","Koramangala 5th Block"
"The Hungers Zone","Yes","No",3.8,57,"BTM",300,"Delivery","Koramangala 5th Block"
"Sri Nandi Grand","Yes","No",3.4,7,"BTM",300,"Delivery","Koramangala 5th Block"
"Vyanjan","Yes","No",3.9,203,"BTM",300,"Delivery","Koramangala 5th Block"
"Swaadam Veg","Yes","No",3.6,34,"BTM",300,"Delivery","Koramangala 5th Block"
"Chatter Platter","Yes","No",3.4,30,"BTM",300,"Delivery","Koramangala 5th Block"
"JP Fish Land","Yes","No",3.6,24,"BTM",300,"Delivery","Koramangala 5th Block"
"Momo Jojo","Yes","No",3.4,6,"BTM",300,"Delivery","Koramangala 5th Block"
"Freeze It","Yes","No",3.6,6,"BTM",300,"Delivery","Koramangala 5th Block"
"The Cuboidal","Yes","No",3.6,16,"BTM",300,"Delivery","Koramangala 5th Block"
"Kafe Nook","Yes","No",3.6,35,"BTM",300,"Delivery","Koramangala 5th Block"
"Homely Curries & Pickles","Yes","No",3.4,50,"BTM",300,"Delivery","Koramangala 5th Block"
"Chef All Nite","Yes","No",3.8,464,"BTM",300,"Delivery","Koramangala 5th Block"
"Limra Hotel","Yes","No",3.3,26,"BTM",300,"Delivery","Koramangala 5th Block"
"Kitchen24","Yes","No",3.4,15,"BTM",300,"Delivery","Koramangala 5th Block"
"Totus","Yes","No",3.7,16,"BTM",300,"Delivery","Koramangala 5th Block"
"Hungry Nights","No","No",3,54,"BTM",300,"Delivery","Koramangala 5th Block"
"NY8LIFE","No","No",3.2,4,"BTM",300,"Delivery","Koramangala 5th Block"
"Nutrition on Wheels","No","No",2.9,23,"BTM",300,"Delivery","Koramangala 5th Block"
"Polamma's Mess","Yes","No",4.2,185,"BTM",300,"Delivery","Koramangala 5th Block"
"Dabba Karkhana","Yes","No",3.5,17,"BTM",300,"Delivery","Koramangala 5th Block"
"Al Habibi Restaurant","Yes","No",3.5,17,"BTM",300,"Delivery","Koramangala 5th Block"
"Sagar Fast Food","Yes","No",3.7,67,"BTM",300,"Delivery","Koramangala 5th Block"
"Naati Biriyani","No","No",3.1,4,"BTM",300,"Delivery","Koramangala 5th Block"
"Jose's Mess","No","No",4.3,317,"BTM",300,"Delivery","Koramangala 5th Block"
"King Punjabi Restaurant","No","No",3.8,52,"BTM",300,"Delivery","Koramangala 5th Block"
"Thottathil Restaurant","No","No",3.8,69,"BTM",300,"Delivery","Koramangala 5th Block"
"Yeti","No","No",3.7,22,"BTM",300,"Delivery","Koramangala 5th Block"
"Bisimillah Biriyani","No","No",3.5,11,"BTM",300,"Delivery","Koramangala 5th Block"
"Hotel Darshan Paradise","Yes","No",3.6,15,"BTM",300,"Delivery","Koramangala 5th Block"
"Bisimillah Biriyani's & Kebab's","No","No",3.3,6,"BTM",300,"Delivery","Koramangala 5th Block"
"Chettinad Food House","No","No",3.1,7,"BTM",300,"Delivery","Koramangala 5th Block"
"RP Sweets","No","No",3.4,9,"BTM",300,"Delivery","Koramangala 5th Block"
"Amrutha Mess","No","No",3.4,6,"BTM",300,"Delivery","Koramangala 5th Block"
"BongHomie","No","No",3.4,10,"BTM",300,"Delivery","Koramangala 5th Block"
"Y Not Shawarma","No","No",3.5,10,"BTM",300,"Delivery","Koramangala 5th Block"
"Brew Cafe","No","No",3.2,4,"BTM",300,"Delivery","Koramangala 5th Block"
"Coal Grill & Cafe","No","No",3.3,8,"BTM",300,"Delivery","Koramangala 5th Block"
"Mongolian Kitchen","No","No",3.8,30,"BTM",300,"Delivery","Koramangala 5th Block"
"Pakiza Dilli Darbar Restaurant","Yes","No",3.2,13,"BTM",300,"Delivery","Koramangala 5th Block"
"Bullet Biryani","Yes","No",3.2,9,"BTM",300,"Delivery","Koramangala 5th Block"
"Biryani Spot","Yes","No",3.5,9,"BTM",300,"Delivery","Koramangala 5th Block"
"Swadista Aahar","Yes","No",4.1,786,"BTM",300,"Delivery","Jayanagar"
"Easy Bites","Yes","No",4,75,"BTM",300,"Delivery","Jayanagar"
"Roti Wala","Yes","No",4,199,"BTM",300,"Delivery","Jayanagar"
"Chicken Magic","Yes","No",3.7,211,"BTM",300,"Delivery","Jayanagar"
"The Biriyani Pedia","Yes","No",3.9,57,"BTM",300,"Delivery","Jayanagar"
"Polar Bear","Yes","No",3.9,20,"BTM",300,"Delivery","Jayanagar"
"New Mahesh Friends Food Corner","Yes","No",3.2,50,"BTM",300,"Delivery","Jayanagar"
"Krishna Sagar","Yes","No",3.8,52,"BTM",300,"Delivery","Jayanagar"
"Mahesh Friends Food Center","Yes","No",2.9,132,"BTM",300,"Delivery","Jayanagar"
"Pathaan Sir","Yes","No",3.9,183,"BTM",300,"Delivery","Jayanagar"
"Yum In My Tum","Yes","No",4.2,103,"BTM",300,"Delivery","Jayanagar"
"Bathinda Tandoor","Yes","No",3.7,40,"BTM",300,"Delivery","Jayanagar"
"Indiana Burgers","Yes","No",3.4,23,"BTM",300,"Delivery","Jayanagar"
"Tarbouche","Yes","No",3.8,12,"BTM",300,"Delivery","Jayanagar"
"RB Food Point","Yes","No",3.7,35,"BTM",300,"Delivery","Jayanagar"
"Cafe Alchemist","Yes","No",3.8,62,"BTM",300,"Delivery","Jayanagar"
"Waffle Head","Yes","No",4,36,"BTM",300,"Delivery","Jayanagar"
"Awesome Foods","Yes","No",3.7,25,"BTM",300,"Delivery","Jayanagar"
"Manchu Cafe","Yes","No",3.8,23,"BTM",300,"Delivery","Jayanagar"
"Kairali","Yes","No",3.9,171,"BTM",300,"Delivery","Jayanagar"
"The Bong Palate","Yes","No",3.8,62,"BTM",300,"Delivery","Jayanagar"
"RK Fresh Food","Yes","No",3.5,13,"BTM",300,"Delivery","Jayanagar"
"Speedbreaker","Yes","No",3.4,14,"BTM",300,"Delivery","Jayanagar"
"The Arabian Nights","Yes","No",2.6,51,"BTM",300,"Delivery","Jayanagar"
"Sri Nandi Grand","Yes","No",3.4,6,"BTM",300,"Delivery","Jayanagar"
"Dessi Cuppa","Yes","No",3.4,5,"BTM",300,"Delivery","Jayanagar"
"Fillers","Yes","No",3.9,138,"BTM",300,"Delivery","Jayanagar"
"Indori Chatorey","Yes","No",2.8,138,"BTM",300,"Delivery","Jayanagar"
"Ammus Hot N Cool","Yes","No",3.4,84,"BTM",300,"Delivery","Jayanagar"
"Vyanjan","Yes","No",3.9,203,"BTM",300,"Delivery","Jayanagar"
"Biryani Magic","Yes","No",3.5,31,"BTM",300,"Delivery","Jayanagar"
"Chatter Platter","Yes","No",3.4,30,"BTM",300,"Delivery","Jayanagar"
"The Hungers Zone","Yes","No",3.8,57,"BTM",300,"Delivery","Jayanagar"
"Litti Twist","Yes","No",4.2,465,"BTM",300,"Delivery","Jayanagar"
"Momo Jojo","Yes","No",3.4,6,"BTM",300,"Delivery","Jayanagar"
"Aramane Donne Biriyani","Yes","No",3.9,191,"BTM",300,"Delivery","Jayanagar"
"Khan's Biryani","Yes","No",3,11,"BTM",300,"Delivery","Jayanagar"
"New South Corner","Yes","No",3.7,20,"BTM",300,"Delivery","Jayanagar"
"Freeze It","Yes","No",3.6,6,"BTM",300,"Delivery","Jayanagar"
"Arabian Bites","Yes","No",3.4,24,"BTM",300,"Delivery","Jayanagar"
"The Cuboidal","Yes","No",3.6,16,"BTM",300,"Delivery","Jayanagar"
"Nanna Munna Paratha House","Yes","No",4,109,"BTM",300,"Delivery","Jayanagar"
"Appana Restaurant","Yes","No",3.5,11,"BTM",300,"Delivery","Jayanagar"
"Kafe Nook","Yes","No",3.6,35,"BTM",300,"Delivery","Jayanagar"
"JP Fish Land","Yes","No",3.6,24,"BTM",300,"Delivery","Jayanagar"
"Polamma's Mess","Yes","No",4.2,185,"BTM",300,"Delivery","Jayanagar"
"Chef All Nite","Yes","No",3.9,464,"BTM",300,"Delivery","Jayanagar"
"Naati Biriyani","No","No",3.1,4,"BTM",300,"Delivery","Jayanagar"
"Swaadam Veg","Yes","No",3.6,34,"BTM",300,"Delivery","Jayanagar"
"BongHomie","No","No",3.4,10,"BTM",300,"Delivery","Jayanagar"
"Hungry Nights","No","No",3,54,"BTM",300,"Delivery","Jayanagar"
"Sagar Fast Food","Yes","No",3.7,67,"BTM",300,"Delivery","Jayanagar"
"Homely Curries & Pickles","Yes","No",3.4,49,"BTM",300,"Delivery","Jayanagar"
"Limra Hotel","Yes","No",3.3,26,"BTM",300,"Delivery","Jayanagar"
"Rolls On Wheels","No","No",2.8,127,"BTM",300,"Delivery","Jayanagar"
"Foodies Club","Yes","No",3.4,5,"BTM",300,"Delivery","Jayanagar"
"RP Sweets","No","No",3.4,9,"BTM",300,"Delivery","Jayanagar"
"Snaxup Restaurant","No","No",3.5,31,"BTM",300,"Delivery","Jayanagar"
"Hot Burg","No","No",3.5,14,"BTM",300,"Delivery","Jayanagar"
"Amrutha Mess","No","No",3.4,5,"BTM",300,"Delivery","Jayanagar"
"Top Foam Parantha Roll & Juice Centre","No","No",3.5,13,"BTM",300,"Delivery","Jayanagar"
"Mongolian Kitchen","No","No",3.8,30,"BTM",300,"Delivery","Jayanagar"
"Pakiza Dilli Darbar Restaurant","Yes","No",3.2,13,"BTM",300,"Delivery","Jayanagar"
"Al Habibi Restaurant","Yes","No",3.5,17,"BTM",300,"Delivery","Jayanagar"
"Bullet Biryani","Yes","No",3.2,9,"BTM",300,"Delivery","Jayanagar"
"Biryani Spot","Yes","No",3.5,9,"BTM",300,"Delivery","Jayanagar"
"Dabba Karkhana","Yes","No",3.5,17,"BTM",300,"Delivery","Jayanagar"
"Swadista Aahar","Yes","No",4.1,775,"BTM",300,"Delivery","Bannerghatta Road"
"Roti Wala","Yes","No",4,197,"BTM",300,"Delivery","Bannerghatta Road"
"Paratha Junction","Yes","No",2.9,172,"BTM",300,"Delivery","Bannerghatta Road"
"Litti Twist","Yes","No",4.1,464,"BTM",300,"Delivery","Bannerghatta Road"
"Chicken Magic","Yes","No",3.7,207,"BTM",300,"Delivery","Bannerghatta Road"
"New Mahesh Friends Food Corner","Yes","No",3.2,44,"BTM",300,"Delivery","Bannerghatta Road"
"Mahesh Friends Food Center","Yes","No",2.9,126,"BTM",300,"Delivery","Bannerghatta Road"
"Polar Bear","Yes","No",3.9,20,"BTM",300,"Delivery","Bannerghatta Road"
